,peer_count,client_count,arrival_time,te_count,cp_count,te_percent,te_percent_price,cp_percent,consensus,consensus_time_max,max,min,mean,res,docker_server_diff,date
0,4,6,10.0,10,10,100,100,100,noops,100ms,1.6911110878,1.59526491165,1.63252766927,"(8, (1017, 1.6605830192565918)), (13, (1015, 1.6911110877990723)), (21, (1002, 1.6149818897247314)), (31, (1010, 1.6275029182434082)), (43, (1001, 1.5952649116516113)), (57, (1004, 1.605722188949585))",0,1486069563.22
0,4,6,10.0,17,10,100,100,100,noops,100ms,1.8331229686700001,1.64992809296,1.7175581455200002,"(8, (1002, 1.695767879486084)), (13, (1007, 1.7073040008544922)), (21, (1010, 1.649928092956543)), (31, (1000, 1.7271530628204346)), (43, (1001, 1.833122968673706)), (57, (1013, 1.692072868347168))",0,1486069674.38
0,4,6,10.0,31,10,100,100,100,noops,100ms,1.96436285973,1.7673628330200002,1.8423409462,"(8, (1003, 1.9643628597259521)), (13, (1002, 1.7673628330230713)), (21, (1003, 1.808237075805664)), (31, (1001, 1.8524179458618164)), (43, (1001, 1.786881923675537)), (57, (1000, 1.8747830390930176))",0,1486069789.44
0,4,6,10.0,56,10,100,100,100,noops,100ms,2.1170439720200003,1.8974289894099998,2.03025918007,"(8, (1012, 2.1016550064086914)), (13, (1000, 1.9683098793029785)), (21, (1006, 2.0668580532073975)), (31, (1001, 2.117043972015381)), (43, (1001, 1.8974289894104004)), (57, (-1, None))",0,1486069943.93
0,4,6,10.0,100,10,100,100,100,noops,100ms,4.887765169140001,2.91285705566,3.52861388524,"(8, (1002, 3.643372058868408)), (13, (1003, 3.0409960746765137)), (21, (1002, 3.2536370754241943)), (31, (1000, 2.9128570556640625)), (43, (1000, 4.887765169143677)), (57, (1006, 3.433055877685547))",0,1486070089.61
0,4,14,4.16,10,10,100,100,100,noops,100ms,1.9470930099500001,1.54697084427,1.61674683435,"(5, (1071, 1.9470930099487305)), (8, (1004, 1.558635950088501)), (10, (1001, 1.5757031440734863)), (16, (1041, 1.6249029636383057)), (17, (1010, 1.6179380416870117)), (22, (1008, 1.5530688762664795)), (25, (1016, 1.6009109020233154)), (30, (1008, 1.5469708442687988)), (34, (1009, 1.6239631175994873)), (35, (1002, 1.5995938777923584)), (38, (1022, 1.5873310565948486)), (42, (1006, 1.5719830989837646)), (45, (1010, 1.5865199565887451)), (51, (1000, 1.639840841293335))",0,1486070214.96
0,4,14,4.16,17,10,100,100,100,noops,100ms,2.79516792297,1.64417505264,1.86754224982,"(5, (1001, 1.6441750526428223)), (8, (1006, 1.67964506149292)), (10, (1002, 1.7190301418304443)), (16, (1001, 1.6980750560760498)), (17, (1000, 1.7411019802093506)), (22, (1009, 1.7447080612182617)), (25, (1005, 1.730431079864502)), (30, (1017, 1.9112720489501953)), (34, (1020, 2.419297933578491)), (35, (1022, 2.795167922973633)), (38, (1005, 1.7879359722137451)), (42, (1007, 1.7635810375213623)), (45, (1005, 1.75285005569458)), (51, (1000, 1.7583200931549072))",0,1486070318.26
0,4,14,4.16,31,10,100,100,100,noops,100ms,3.58950400352,1.74235296249,2.20243569783,"(5, (1003, 1.953866958618164)), (8, (1003, 2.6048531532287598)), (10, (1004, 1.947995901107788)), (16, (1000, 1.8897631168365479)), (17, (1000, 1.8137989044189453)), (22, (1000, 1.850226879119873)), (25, (1000, 1.7423529624938965)), (30, (1002, 2.0915780067443848)), (34, (1000, 3.4213759899139404)), (35, (1006, 3.5895040035247803)), (38, (1003, 2.0503928661346436)), (42, (1001, 1.881937026977539)), (45, (1001, 2.004343032836914)), (51, (1010, 1.9921109676361084))",0,1486070426.55
0,4,14,4.16,56,10,100,100,100,noops,100ms,3.23545598984,1.98129487038,2.3546667099,"(5, (1005, 2.224591016769409)), (8, (1005, 3.0398571491241455)), (10, (1015, 2.364893913269043)), (16, (1010, 2.276310920715332)), (17, (-1, None)), (22, (1003, 2.2551820278167725)), (25, (1000, 2.114758014678955)), (30, (1001, 2.1176440715789795)), (34, (1000, 2.0330679416656494)), (35, (1000, 1.981294870376587)), (38, (1001, 2.1756961345672607)), (42, (1005, 2.6901841163635254)), (45, (1003, 3.2354559898376465)), (51, (1013, 2.101731061935425))",0,1486070545.27
0,4,14,4.16,100,10,100,100,100,noops,100ms,6.7758319377900005,2.71819400787,3.79258483648,"(5, (1001, 3.3257129192352295)), (8, (1001, 2.718194007873535)), (10, (-1, None)), (16, (1002, 2.895479202270508)), (17, (-1, None)), (22, (1000, 3.0017099380493164)), (25, (1000, 3.4650869369506836)), (30, (1001, 6.775831937789917)), (34, (1001, 4.505884885787964)), (35, (-1, None)), (38, (-1, None)), (42, (1000, 3.6527788639068604)), (45, (-1, None)), (51, (-1, None))",0,1486070686.94
